parameter,value,text,entities,regex_extracted
BloodPressure,47.0,BloodPressure 47.0,"[('47.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,79.0,BloodPressure 79.0,"[('79.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,93.0,BloodPressure 93.0,"[('93.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,85.0,BloodPressure 85.0,"[('85.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,54.0,BloodPressure 54.0,"[('54.0', 'CARDINAL')]",
BloodPressure,58.0,BloodPressure 58.0,"[('58.0', 'CARDINAL')]",
BloodPressure,65.0,BloodPressure 65.0,"[('65.0', 'CARDINAL')]",
BloodPressure,91.0,BloodPressure 91.0,"[('91.0', 'CARDINAL')]",
BloodPressure,61.0,BloodPressure 61.0,"[('61.0', 'CARDINAL')]",
BloodPressure,60.0,BloodPressure 60.0,"[('60.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,77.0,BloodPressure 77.0,"[('77.0', 'CARDINAL')]",
BloodPressure,59.0,BloodPressure 59.0,"[('59.0', 'CARDINAL')]",
BloodPressure,68.0,BloodPressure 68.0,"[('68.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,43.0,BloodPressure 43.0,"[('43.0', 'CARDINAL')]",
BloodPressure,94.0,BloodPressure 94.0,"[('94.0', 'CARDINAL')]",
BloodPressure,110.0,BloodPressure 110.0,"[('110.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,43.0,BloodPressure 43.0,"[('43.0', 'CARDINAL')]",
BloodPressure,61.0,BloodPressure 61.0,"[('61.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,106.0,BloodPressure 106.0,"[('106.0', 'CARDINAL')]",
BloodPressure,105.0,BloodPressure 105.0,"[('105.0', 'CARDINAL')]",
BloodPressure,73.0,BloodPressure 73.0,"[('73.0', 'CARDINAL')]",
BloodPressure,94.0,BloodPressure 94.0,"[('94.0', 'CARDINAL')]",
BloodPressure,40.0,BloodPressure 40.0,"[('40.0', 'CARDINAL')]",
BloodPressure,111.0,BloodPressure 111.0,"[('111.0', 'CARDINAL')]",
BloodPressure,77.0,BloodPressure 77.0,"[('77.0', 'CARDINAL')]",
BloodPressure,45.0,BloodPressure 45.0,"[('45.0', 'CARDINAL')]",
BloodPressure,64.0,BloodPressure 64.0,"[('64.0', 'CARDINAL')]",
BloodPressure,56.0,BloodPressure 56.0,"[('56.0', 'CARDINAL')]",
BloodPressure,100.0,BloodPressure 100.0,"[('100.0', 'CARDINAL')]",
BloodPressure,51.0,BloodPressure 51.0,"[('51.0', 'CARDINAL')]",
BloodPressure,45.0,BloodPressure 45.0,"[('45.0', 'CARDINAL')]",
BloodPressure,66.0,BloodPressure 66.0,"[('66.0', 'CARDINAL')]",
BloodPressure,47.0,BloodPressure 47.0,"[('47.0', 'CARDINAL')]",
BloodPressure,104.0,BloodPressure 104.0,"[('104.0', 'CARDINAL')]",
BloodPressure,96.0,BloodPressure 96.0,"[('96.0', 'CARDINAL')]",
BloodPressure,79.0,BloodPressure 79.0,"[('79.0', 'CARDINAL')]",
BloodPressure,53.0,BloodPressure 53.0,"[('53.0', 'CARDINAL')]",
BloodPressure,74.0,BloodPressure 74.0,"[('74.0', 'CARDINAL')]",
BloodPressure,87.0,BloodPressure 87.0,"[('87.0', 'CARDINAL')]",
BloodPressure,95.0,BloodPressure 95.0,"[('95.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,52.0,BloodPressure 52.0,"[('52.0', 'CARDINAL')]",
BloodPressure,100.0,BloodPressure 100.0,"[('100.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,85.0,BloodPressure 85.0,"[('85.0', 'CARDINAL')]",
BloodPressure,101.0,BloodPressure 101.0,"[('101.0', 'CARDINAL')]",
BloodPressure,47.0,BloodPressure 47.0,"[('47.0', 'CARDINAL')]",
BloodPressure,82.0,BloodPressure 82.0,"[('82.0', 'CARDINAL')]",
BloodPressure,59.0,BloodPressure 59.0,"[('59.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,103.0,BloodPressure 103.0,"[('103.0', 'CARDINAL')]",
BloodPressure,101.0,BloodPressure 101.0,"[('101.0', 'CARDINAL')]",
BloodPressure,93.0,BloodPressure 93.0,"[('93.0', 'CARDINAL')]",
BloodPressure,48.0,BloodPressure 48.0,"[('48.0', 'CARDINAL')]",
BloodPressure,76.0,BloodPressure 76.0,"[('76.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,80.0,BloodPressure 80.0,"[('80.0', 'CARDINAL')]",
BloodPressure,56.0,BloodPressure 56.0,"[('56.0', 'CARDINAL')]",
BloodPressure,60.0,BloodPressure 60.0,"[('60.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,98.0,BloodPressure 98.0,"[('98.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,94.0,BloodPressure 94.0,"[('94.0', 'CARDINAL')]",
BloodPressure,80.0,BloodPressure 80.0,"[('80.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,52.0,BloodPressure 52.0,"[('52.0', 'CARDINAL')]",
BloodPressure,103.0,BloodPressure 103.0,"[('103.0', 'CARDINAL')]",
BloodPressure,50.0,BloodPressure 50.0,"[('50.0', 'CARDINAL')]",
BloodPressure,58.0,BloodPressure 58.0,"[('58.0', 'CARDINAL')]",
BloodPressure,50.0,BloodPressure 50.0,"[('50.0', 'CARDINAL')]",
BloodPressure,116.0,BloodPressure 116.0,"[('116.0', 'CARDINAL')]",
BloodPressure,85.0,BloodPressure 85.0,"[('85.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,40.0,BloodPressure 40.0,"[('40.0', 'CARDINAL')]",
BloodPressure,79.0,BloodPressure 79.0,"[('79.0', 'CARDINAL')]",
BloodPressure,58.0,BloodPressure 58.0,"[('58.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,111.0,BloodPressure 111.0,"[('111.0', 'CARDINAL')]",
BloodPressure,111.0,BloodPressure 111.0,"[('111.0', 'CARDINAL')]",
BloodPressure,100.0,BloodPressure 100.0,"[('100.0', 'CARDINAL')]",
BloodPressure,51.0,BloodPressure 51.0,"[('51.0', 'CARDINAL')]",
BloodPressure,100.0,BloodPressure 100.0,"[('100.0', 'CARDINAL')]",
BloodPressure,72.0,BloodPressure 72.0,"[('72.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,108.0,BloodPressure 108.0,"[('108.0', 'CARDINAL')]",
BloodPressure,47.0,BloodPressure 47.0,"[('47.0', 'CARDINAL')]",
BloodPressure,64.0,BloodPressure 64.0,"[('64.0', 'CARDINAL')]",
BloodPressure,85.0,BloodPressure 85.0,"[('85.0', 'CARDINAL')]",
BloodPressure,69.0,BloodPressure 69.0,"[('69.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,57.0,BloodPressure 57.0,"[('57.0', 'CARDINAL')]",
BloodPressure,105.0,BloodPressure 105.0,"[('105.0', 'CARDINAL')]",
BloodPressure,107.0,BloodPressure 107.0,"[('107.0', 'CARDINAL')]",
BloodPressure,72.0,BloodPressure 72.0,"[('72.0', 'CARDINAL')]",
BloodPressure,75.0,BloodPressure 75.0,"[('75.0', 'CARDINAL')]",
BloodPressure,58.0,BloodPressure 58.0,"[('58.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,79.0,BloodPressure 79.0,"[('79.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,54.0,BloodPressure 54.0,"[('54.0', 'CARDINAL')]",
BloodPressure,80.0,BloodPressure 80.0,"[('80.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,41.0,BloodPressure 41.0,"[('41.0', 'CARDINAL')]",
BloodPressure,102.0,BloodPressure 102.0,"[('102.0', 'CARDINAL')]",
BloodPressure,68.0,BloodPressure 68.0,"[('68.0', 'CARDINAL')]",
BloodPressure,113.0,BloodPressure 113.0,"[('113.0', 'CARDINAL')]",
BloodPressure,105.0,BloodPressure 105.0,"[('105.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,114.0,BloodPressure 114.0,"[('114.0', 'CARDINAL')]",
BloodPressure,116.0,BloodPressure 116.0,"[('116.0', 'CARDINAL')]",
BloodPressure,49.0,BloodPressure 49.0,"[('49.0', 'CARDINAL')]",
BloodPressure,53.0,BloodPressure 53.0,"[('53.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,112.0,BloodPressure 112.0,"[('112.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,42.0,BloodPressure 42.0,"[('42.0', 'CARDINAL')]",
BloodPressure,109.0,BloodPressure 109.0,"[('109.0', 'CARDINAL')]",
BloodPressure,66.0,BloodPressure 66.0,"[('66.0', 'CARDINAL')]",
BloodPressure,41.0,BloodPressure 41.0,"[('41.0', 'CARDINAL')]",
BloodPressure,77.0,BloodPressure 77.0,"[('77.0', 'CARDINAL')]",
BloodPressure,42.0,BloodPressure 42.0,"[('42.0', 'CARDINAL')]",
BloodPressure,55.0,BloodPressure 55.0,"[('55.0', 'CARDINAL')]",
BloodPressure,79.0,BloodPressure 79.0,"[('79.0', 'CARDINAL')]",
BloodPressure,41.0,BloodPressure 41.0,"[('41.0', 'CARDINAL')]",
BloodPressure,80.0,BloodPressure 80.0,"[('80.0', 'CARDINAL')]",
BloodPressure,51.0,BloodPressure 51.0,"[('51.0', 'CARDINAL')]",
BloodPressure,74.0,BloodPressure 74.0,"[('74.0', 'CARDINAL')]",
BloodPressure,104.0,BloodPressure 104.0,"[('104.0', 'CARDINAL')]",
BloodPressure,94.0,BloodPressure 94.0,"[('94.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,118.0,BloodPressure 118.0,"[('118.0', 'CARDINAL')]",
BloodPressure,101.0,BloodPressure 101.0,"[('101.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,64.0,BloodPressure 64.0,"[('64.0', 'CARDINAL')]",
BloodPressure,62.0,BloodPressure 62.0,"[('62.0', 'CARDINAL')]",
BloodPressure,63.0,BloodPressure 63.0,"[('63.0', 'CARDINAL')]",
BloodPressure,77.0,BloodPressure 77.0,"[('77.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,60.0,BloodPressure 60.0,"[('60.0', 'CARDINAL')]",
BloodPressure,93.0,BloodPressure 93.0,"[('93.0', 'CARDINAL')]",
BloodPressure,57.0,BloodPressure 57.0,"[('57.0', 'CARDINAL')]",
BloodPressure,75.0,BloodPressure 75.0,"[('75.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,112.0,BloodPressure 112.0,"[('112.0', 'CARDINAL')]",
BloodPressure,92.0,BloodPressure 92.0,"[('92.0', 'CARDINAL')]",
BloodPressure,69.0,BloodPressure 69.0,"[('69.0', 'CARDINAL')]",
BloodPressure,99.0,BloodPressure 99.0,"[('99.0', 'CARDINAL')]",
BloodPressure,71.0,BloodPressure 71.0,"[('71.0', 'CARDINAL')]",
BloodPressure,106.0,BloodPressure 106.0,"[('106.0', 'CARDINAL')]",
BloodPressure,106.0,BloodPressure 106.0,"[('106.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,83.0,BloodPressure 83.0,"[('83.0', 'CARDINAL')]",
BloodPressure,118.0,BloodPressure 118.0,"[('118.0', 'CARDINAL')]",
BloodPressure,80.0,BloodPressure 80.0,"[('80.0', 'CARDINAL')]",
BloodPressure,102.0,BloodPressure 102.0,"[('102.0', 'CARDINAL')]",
BloodPressure,62.0,BloodPressure 62.0,"[('62.0', 'CARDINAL')]",
BloodPressure,114.0,BloodPressure 114.0,"[('114.0', 'CARDINAL')]",
BloodPressure,87.0,BloodPressure 87.0,"[('87.0', 'CARDINAL')]",
BloodPressure,71.0,BloodPressure 71.0,"[('71.0', 'CARDINAL')]",
BloodPressure,96.0,BloodPressure 96.0,"[('96.0', 'CARDINAL')]",
BloodPressure,72.0,BloodPressure 72.0,"[('72.0', 'CARDINAL')]",
BloodPressure,63.0,BloodPressure 63.0,"[('63.0', 'CARDINAL')]",
BloodPressure,78.0,BloodPressure 78.0,"[('78.0', 'CARDINAL')]",
BloodPressure,73.0,BloodPressure 73.0,"[('73.0', 'CARDINAL')]",
BloodPressure,95.0,BloodPressure 95.0,"[('95.0', 'CARDINAL')]",
BloodPressure,67.0,BloodPressure 67.0,"[('67.0', 'CARDINAL')]",
BloodPressure,76.0,BloodPressure 76.0,"[('76.0', 'CARDINAL')]",
BloodPressure,46.0,BloodPressure 46.0,"[('46.0', 'CARDINAL')]",
BloodPressure,107.0,BloodPressure 107.0,"[('107.0', 'CARDINAL')]",
BloodPressure,76.0,BloodPressure 76.0,"[('76.0', 'CARDINAL')]",
BloodPressure,95.0,BloodPressure 95.0,"[('95.0', 'CARDINAL')]",
BloodPressure,104.0,BloodPressure 104.0,"[('104.0', 'CARDINAL')]",
BloodPressure,104.0,BloodPressure 104.0,"[('104.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,59.0,BloodPressure 59.0,"[('59.0', 'CARDINAL')]",
BloodPressure,58.0,BloodPressure 58.0,"[('58.0', 'CARDINAL')]",
BloodPressure,68.0,BloodPressure 68.0,"[('68.0', 'CARDINAL')]",
BloodPressure,113.0,BloodPressure 113.0,"[('113.0', 'CARDINAL')]",
BloodPressure,99.0,BloodPressure 99.0,"[('99.0', 'CARDINAL')]",
BloodPressure,57.0,BloodPressure 57.0,"[('57.0', 'CARDINAL')]",
BloodPressure,74.0,BloodPressure 74.0,"[('74.0', 'CARDINAL')]",
BloodPressure,82.0,BloodPressure 82.0,"[('82.0', 'CARDINAL')]",
BloodPressure,50.0,BloodPressure 50.0,"[('50.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
BloodPressure,77.0,BloodPressure 77.0,"[('77.0', 'CARDINAL')]",
BloodPressure,103.0,BloodPressure 103.0,"[('103.0', 'CARDINAL')]",
BloodPressure,108.0,BloodPressure 108.0,"[('108.0', 'CARDINAL')]",
BloodPressure,47.0,BloodPressure 47.0,"[('47.0', 'CARDINAL')]",
BloodPressure,73.0,BloodPressure 73.0,"[('73.0', 'CARDINAL')]",
BloodPressure,87.0,BloodPressure 87.0,"[('87.0', 'CARDINAL')]",
BloodPressure,95.0,BloodPressure 95.0,"[('95.0', 'CARDINAL')]",
BloodPressure,115.0,BloodPressure 115.0,"[('115.0', 'CARDINAL')]",
BloodPressure,104.0,BloodPressure 104.0,"[('104.0', 'CARDINAL')]",
BloodPressure,70.0,BloodPressure 70.0,"[('70.0', 'CARDINAL')]",
BloodPressure,43.0,BloodPressure 43.0,"[('43.0', 'CARDINAL')]",
BloodPressure,89.0,BloodPressure 89.0,"[('89.0', 'CARDINAL')]",
BloodPressure,108.0,BloodPressure 108.0,"[('108.0', 'CARDINAL')]",
BloodPressure,69.0,BloodPressure 69.0,"[('69.0', 'CARDINAL')]",
BloodPressure,98.0,BloodPressure 98.0,"[('98.0', 'CARDINAL')]",
BloodPressure,106.0,BloodPressure 106.0,"[('106.0', 'CARDINAL')]",
BloodPressure,114.0,BloodPressure 114.0,"[('114.0', 'CARDINAL')]",
BloodPressure,84.0,BloodPressure 84.0,"[('84.0', 'CARDINAL')]",
BloodPressure,43.0,BloodPressure 43.0,"[('43.0', 'CARDINAL')]",
BloodPressure,65.0,BloodPressure 65.0,"[('65.0', 'CARDINAL')]",
BloodPressure,66.0,BloodPressure 66.0,"[('66.0', 'CARDINAL')]",
BloodPressure,85.0,BloodPressure 85.0,"[('85.0', 'CARDINAL')]",
BloodPressure,103.0,BloodPressure 103.0,"[('103.0', 'CARDINAL')]",
BloodPressure,90.0,BloodPressure 90.0,"[('90.0', 'CARDINAL')]",
BloodPressure,89.0,BloodPressure 89.0,"[('89.0', 'CARDINAL')]",
BloodPressure,45.0,BloodPressure 45.0,"[('45.0', 'CARDINAL')]",
BloodPressure,98.0,BloodPressure 98.0,"[('98.0', 'CARDINAL')]",
BloodPressure,54.0,BloodPressure 54.0,"[('54.0', 'CARDINAL')]",
BloodPressure,69.0,BloodPressure 69.0,"[('69.0', 'CARDINAL')]",
BloodPressure,81.0,BloodPressure 81.0,"[('81.0', 'CARDINAL')]",
BloodPressure,76.0,BloodPressure 76.0,"[('76.0', 'CARDINAL')]",
BloodPressure,81.0,BloodPressure 81.0,"[('81.0', 'CARDINAL')]",
BloodPressure,74.0,BloodPressure 74.0,"[('74.0', 'CARDINAL')]",
BloodPressure,45.0,BloodPressure 45.0,"[('45.0', 'CARDINAL')]",
BloodPressure,107.0,BloodPressure 107.0,"[('107.0', 'CARDINAL')]",
BloodPressure,57.0,BloodPressure 57.0,"[('57.0', 'CARDINAL')]",
BloodPressure,112.0,BloodPressure 112.0,"[('112.0', 'CARDINAL')]",
BloodPressure,68.0,BloodPressure 68.0,"[('68.0', 'CARDINAL')]",
BloodPressure,116.0,BloodPressure 116.0,"[('116.0', 'CARDINAL')]",
BloodPressure,98.0,BloodPressure 98.0,"[('98.0', 'CARDINAL')]",
BloodPressure,86.0,BloodPressure 86.0,"[('86.0', 'CARDINAL')]",
BloodPressure,56.0,BloodPressure 56.0,"[('56.0', 'CARDINAL')]",
BloodPressure,61.0,BloodPressure 61.0,"[('61.0', 'CARDINAL')]",
BloodPressure,107.0,BloodPressure 107.0,"[('107.0', 'CARDINAL')]",
BloodPressure,108.0,BloodPressure 108.0,"[('108.0', 'CARDINAL')]",
BloodPressure,76.0,BloodPressure 76.0,"[('76.0', 'CARDINAL')]",
BloodPressure,88.0,BloodPressure 88.0,"[('88.0', 'CARDINAL')]",
SkinThickness,22.0,SkinThickness 22.0,"[('SkinThickness', 'ORG'), ('22.0', 'MONEY')]",
SkinThickness,43.0,SkinThickness 43.0,"[('SkinThickness', 'ORG'), ('43.0', 'CARDINAL')]",
SkinThickness,31.0,SkinThickness 31.0,"[('SkinThickness', 'ORG'), ('31.0', 'CARDINAL')]",
SkinThickness,32.0,SkinThickness 32.0,"[('SkinThickness', 'ORG'), ('32.0', 'PRODUCT')]",
SkinThickness,12.0,SkinThickness 12.0,"[('SkinThickness', 'ORG'), ('12.0', 'CARDINAL')]",
SkinThickness,43.0,SkinThickness 43.0,"[('SkinThickness', 'ORG'), ('43.0', 'CARDINAL')]",
SkinThickness,41.0,SkinThickness 41.0,"[('SkinThickness', 'ORG'), ('41.0', 'CARDINAL')]",
SkinThickness,30.0,SkinThickness 30.0,"[('SkinThickness', 'ORG'), ('30.0', 'PRODUCT')]",
SkinThickness,30.0,SkinThickness 30.0,"[('SkinThickness', 'ORG'), ('30.0', 'PRODUCT')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,48.0,SkinThickness 48.0,"[('SkinThickness', 'ORG'), ('48.0', 'MONEY')]",
SkinThickness,13.0,SkinThickness 13.0,"[('SkinThickness', 'ORG'), ('13.0', 'CARDINAL')]",
SkinThickness,10.0,SkinThickness 10.0,"[('SkinThickness', 'ORG'), ('10.0', 'CARDINAL')]",
SkinThickness,37.0,SkinThickness 37.0,"[('SkinThickness', 'ORG'), ('37.0', 'PRODUCT')]",
SkinThickness,33.0,SkinThickness 33.0,"[('SkinThickness', 'ORG'), ('33.0', 'PRODUCT')]",
SkinThickness,44.0,SkinThickness 44.0,"[('SkinThickness', 'ORG'), ('44.0', 'PRODUCT')]",
SkinThickness,22.0,SkinThickness 22.0,"[('SkinThickness', 'ORG'), ('22.0', 'MONEY')]",
SkinThickness,43.0,SkinThickness 43.0,"[('SkinThickness', 'ORG'), ('43.0', 'CARDINAL')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,45.0,SkinThickness 45.0,"[('SkinThickness', 'ORG'), ('45.0', 'CARDINAL')]",
SkinThickness,26.0,SkinThickness 26.0,"[('SkinThickness', 'ORG'), ('26.0', 'CARDINAL')]",
SkinThickness,44.0,SkinThickness 44.0,"[('SkinThickness', 'ORG'), ('44.0', 'PRODUCT')]",
SkinThickness,27.0,SkinThickness 27.0,"[('SkinThickness', 'ORG'), ('27.0', 'MONEY')]",
SkinThickness,49.0,SkinThickness 49.0,"[('SkinThickness', 'ORG'), ('49.0', 'CARDINAL')]",
SkinThickness,31.0,SkinThickness 31.0,"[('SkinThickness', 'ORG'), ('31.0', 'CARDINAL')]",
SkinThickness,33.0,SkinThickness 33.0,"[('SkinThickness', 'ORG'), ('33.0', 'PRODUCT')]",
SkinThickness,28.0,SkinThickness 28.0,"[('SkinThickness', 'ORG'), ('28.0', 'MONEY')]",
SkinThickness,46.0,SkinThickness 46.0,"[('SkinThickness', 'ORG'), ('46.0', 'PRODUCT')]",
SkinThickness,48.0,SkinThickness 48.0,"[('SkinThickness', 'ORG'), ('48.0', 'MONEY')]",
SkinThickness,30.0,SkinThickness 30.0,"[('SkinThickness', 'ORG'), ('30.0', 'PRODUCT')]",
SkinThickness,17.0,SkinThickness 17.0,"[('SkinThickness', 'ORG'), ('17.0', 'CARDINAL')]",
SkinThickness,37.0,SkinThickness 37.0,"[('SkinThickness', 'ORG'), ('37.0', 'PRODUCT')]",
SkinThickness,14.0,SkinThickness 14.0,"[('SkinThickness', 'ORG'), ('14.0', 'CARDINAL')]",
SkinThickness,26.0,SkinThickness 26.0,"[('SkinThickness', 'ORG'), ('26.0', 'CARDINAL')]",
SkinThickness,46.0,SkinThickness 46.0,"[('SkinThickness', 'ORG'), ('46.0', 'PRODUCT')]",
SkinThickness,45.0,SkinThickness 45.0,"[('SkinThickness', 'ORG'), ('45.0', 'CARDINAL')]",
SkinThickness,28.0,SkinThickness 28.0,"[('SkinThickness', 'ORG'), ('28.0', 'MONEY')]",
SkinThickness,36.0,SkinThickness 36.0,"[('SkinThickness', 'ORG'), ('36.0', 'PRODUCT')]",
SkinThickness,43.0,SkinThickness 43.0,"[('SkinThickness', 'ORG'), ('43.0', 'CARDINAL')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,21.0,SkinThickness 21.0,"[('SkinThickness', 'ORG'), ('21.0', 'CARDINAL')]",
SkinThickness,30.0,SkinThickness 30.0,"[('SkinThickness', 'ORG'), ('30.0', 'PRODUCT')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,48.0,SkinThickness 48.0,"[('SkinThickness', 'ORG'), ('48.0', 'MONEY')]",
SkinThickness,37.0,SkinThickness 37.0,"[('SkinThickness', 'ORG'), ('37.0', 'PRODUCT')]",
SkinThickness,14.0,SkinThickness 14.0,"[('SkinThickness', 'ORG'), ('14.0', 'CARDINAL')]",
SkinThickness,26.0,SkinThickness 26.0,"[('SkinThickness', 'ORG'), ('26.0', 'CARDINAL')]",
SkinThickness,29.0,SkinThickness 29.0,"[('SkinThickness', 'ORG'), ('29.0', 'CARDINAL')]",
SkinThickness,21.0,SkinThickness 21.0,"[('SkinThickness', 'ORG'), ('21.0', 'CARDINAL')]",
SkinThickness,15.0,SkinThickness 15.0,"[('SkinThickness', 'ORG'), ('15.0', 'CARDINAL')]",
SkinThickness,26.0,SkinThickness 26.0,"[('SkinThickness', 'ORG'), ('26.0', 'CARDINAL')]",
SkinThickness,28.0,SkinThickness 28.0,"[('SkinThickness', 'ORG'), ('28.0', 'MONEY')]",
SkinThickness,35.0,SkinThickness 35.0,"[('SkinThickness', 'ORG'), ('35.0', 'CARDINAL')]",
SkinThickness,41.0,SkinThickness 41.0,"[('SkinThickness', 'ORG'), ('41.0', 'CARDINAL')]",
SkinThickness,15.0,SkinThickness 15.0,"[('SkinThickness', 'ORG'), ('15.0', 'CARDINAL')]",
SkinThickness,45.0,SkinThickness 45.0,"[('SkinThickness', 'ORG'), ('45.0', 'CARDINAL')]",
SkinThickness,47.0,SkinThickness 47.0,"[('SkinThickness', 'ORG'), ('47.0', 'PRODUCT')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,42.0,SkinThickness 42.0,"[('SkinThickness', 'ORG'), ('42.0', 'PRODUCT')]",
SkinThickness,33.0,SkinThickness 33.0,"[('SkinThickness', 'ORG'), ('33.0', 'PRODUCT')]",
SkinThickness,32.0,SkinThickness 32.0,"[('SkinThickness', 'ORG'), ('32.0', 'PRODUCT')]",
SkinThickness,24.0,SkinThickness 24.0,"[('SkinThickness', 'ORG'), ('24.0', 'MONEY')]",
SkinThickness,36.0,SkinThickness 36.0,"[('SkinThickness', 'ORG'), ('36.0', 'PRODUCT')]",
SkinThickness,20.0,SkinThickness 20.0,"[('SkinThickness', 'ORG'), ('20.0', 'CARDINAL')]",
SkinThickness,26.0,SkinThickness 26.0,"[('SkinThickness', 'ORG'), ('26.0', 'CARDINAL')]",
SkinThickness,23.0,SkinThickness 23.0,"[('SkinThickness', 'ORG'), ('23.0', 'MONEY')]",
SkinThickness,36.0,SkinThickness 36.0,"[('SkinThickness', 'ORG'), ('36.0', 'PRODUCT')]",
SkinThickness,27.0,SkinThickness 27.0,"[('SkinThickness', 'ORG'), ('27.0', 'MONEY')]",
SkinThickness,37.0,SkinThickness 37.0,"[('SkinThickness', 'ORG'), ('37.0', 'PRODUCT')]",
